epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1282.94,1.35298,2.07012,1.25426,0.80612,0.67032,0.6959,0.41839,1.30469,1.77062,1.14501,0.000474751,0.000474751,0.000474751
2,2654.86,1.22185,1.16714,1.14394,0.8169,0.7057,0.74416,0.47032,1.20103,1.24471,1.0659,0.000941668,0.000941668,0.000941668
3,4051.74,1.21469,0.98592,1.1363,0.8603,0.70297,0.74561,0.44558,1.28814,1.12526,1.13825,0.00139915,0.00139915,0.00139915
4,5337.38,1.18335,0.88369,1.13183,0.85633,0.74934,0.78795,0.53921,1.09091,0.81902,1.02361,0.00138656,0.00138656,0.00138656
5,8477.86,1.15251,0.81324,1.10836,0.88331,0.79091,0.82497,0.56491,0.99941,0.72058,1.00194,0.00137241,0.00137241,0.00137241
